Episódio;Título;Descrição
S07E29;Viajando no tempo e na ficção científica — A tradução para dublagem de Time Patrol Bon — Vic Vieira Ramires;Preparem-se para cruzar o hiperespaço que a nave do tempo está prestes a zarpar! Essa palestra será um relato da aventura que foi traduzir o anime Time Patrol Bon para dublagem. Além do estudo de caso, vamos mergulhar mais a fundo nesse vórtex hiperdimensional e analisar: quais são os desafios da tradução de histórias de viagem no tempo, como é o vocabulário imaginativo da ficção científica com seus neologismos e technobabble e como cuidar da tradução do humor para o público brasileiro. TP Bon é uma adaptação do mangá de Fujiko Fujio e foi lançado na Netflix em 2024.
S07E30;Você quer traduzir jogos analógicos? — Mateus Ornellas;Traduzir jogos analógicos é uma experiência que combina duas competências antagônicas: a sensibilidade e criatividade da tradução literária com a precisão e rigor da tradução de manuais técnicos. Como balancear essas habilidades? Que outros requisitos são esperados de um profissional que deseja ingressar nessa área? A partir da minha experiência, vamos falar um pouco sobre o universo de jogos analógicos e RPG, discutir sobre o que eu observo ao avaliar um profissional de tradução e sugestões sobre como exercitar essas características para se destacar nesse interessante mercado.
S07E31;TRADUSA 2024: Tudo sobre o V Encontro Brasileiro de Tradutores Especializados na Área da Saúde — Ana Julia Perrotti-Garcia, Cátia Santana e Patrícia Gimenez;Junte-se a nós para uma live exclusiva onde vamos explicar tudo sobre o TRADUSA 2024 – V Encontro Brasileiro de Tradutores Especializados na Área da Saúde! Saiba mais sobre o evento, conheça a programação completa e tire suas dúvidas ao vivo! Não perca essa oportunidade de se conectar com profissionais da área e se preparar para o maior evento de tradução médica do Brasil.
S07E32;Gerentes de projetos: os maestros do setor de tradução e localização — Gisley Ferreira;Quem vê um projeto de tradução e localização pronto não imagina quantas etapas seu fluxo de trabalho tem, nem que tipo de profissional faz acontecer isso tudo. O gerente de projetos é a peça-chave que faz funcionar todas as engrenagens de uma empresa de tradução. Que perfil os PjMs têm? Quais são suas responsabilidades? O que eles esperam do relacionamento com os linguistas? Esta palestra mostrará de forma geral o que esse profissional faz e sua importância para os negócios no setor linguístico.
S07E33;De tradutora literária a escritora — Natalie Gerhardt;A tradução literária é uma escrita autoral, na qual usamos nossa criatividade e conhecimentos linguísticos e literários para contar, da melhor forma possível, uma história criada por outra pessoa em outro idioma. Nessa palestra, vou compartilhar minha experiência como tradutora e como escritora e trazer uma reflexão sobre como a tradução influencia a minha escrita e vice-versa.
S07E34;Quer aprender a traduzir para Dublagem? — Will Xavier;"Você sabe o que é um vozerio? Quais os tipos de sincronismo labial que existem no processo de
Tradução para a Dublagem? Nessa palestra, Will Xavier vai dar algumas dessas respostas e
apresentar a Oficina de Introdução à Tradução para Dublagem, que vai acontecer na Interpret2B nos
dias 21, 27 e 28 de agosto."
S07E35;Perspectivas da carreira do tradutor com a IA — Ricardo Souza, Jorge Davidson, Simone Vieira Resende e Carol Santiago;"Um bate-papo sobre as perspectivas da carreira do tradutor com a IA.
Mediação: Caroline Santiago"
S07E36;MTPE – Exemplos práticos de Machine Translation Pós-Editing – Isa Mara Lando;"Em um momento em que muitos clientes estão optando pela Inteligência Artificial – a tradução por máquina, já bem conhecida nossa, mas agora mais aperfeiçoada – é mais importante do que nunca valorizar as nossas competências e habilidades exclusivamente humanas, que continuam em demanda para a etapa de pós-edição. 
Nesta palestra totalmente prática, veremos diversos trechos traduzidos pelo DeepL, o melhor da praça atualmente. Vamos comparar a tradução “crua” do DeepL com a versão editada por mim, mostrando como corrigir erros de contexto, com o bom senso e a cultura geral do ser humano, e como aperfeiçoar o texto em todos os aspectos – naturalidade, fluência, comunicação, legibilidade. As perguntas e observações dos participantes serão muito bem-vindas. 
"
S07E37;Masterclass: Você quer trabalhar na tradução de jogos? – Ivar P. Junior, Horacio Corral, Luciana G. Boldorini;"A masterclass ""Você quer trabalhar na tradução de jogos"", ministrada por Horacio Corral, Ivar P. Junior e Luciana G. Boldorini, explora os principais aspectos do processo conhecido como localização de jogos.
Durante a aula, eles abordarão tópicos como a adaptação cultural necessária para tornar um jogo acessível e atraente, bem como os desafios específicos que surgem ao localizar jogos para o público brasileiro e o que um profissional dessa área deve ser capaz de oferecer a seus clientes. Além disso, a aula inclui estudos de caso de jogos populares e exemplos práticos de erros comuns na tradução e adaptação de conteúdo.
A masterclass se destina a estudantes e profissionais da área de tradução, desenvolvedores de jogos, tradutores que desejam diversificar seus serviços e a todos os interessados em compreender esse processo crucial para o sucesso de jogos no mercado brasileiro.
"
S07E38;A IA e o mundo da tradução – Sandra Garcia;"• Mitos e verdades
• Nomes na tradução e na IA
• E nós, onde vamos parar?
• Então...
Apesar de toda a empolgação e ansiedade sobre a inteligência artificial em pouco tempo igualar ou superar a inteligência humana, vemos que essa tecnologia fez muito pouco progresso desde a década de 1950.
Sem dúvida o impacto dela é real em TODOS os setores e níveis da sociedade e nós, tradutores, não poderíamos ficar de fora.
Será que o fim da nossa espécie está próximo, ou o gigante é bem menor quando encaramos de frente? 
Vamos conversar sobre isso?"
S07E39;Legenda automática: a vilã da vez – Andressa Gatto;Você já parou pra pensar na qualidade das legendas que você anda lendo no seu tempo livre? Você, que cria conteúdo de vídeos e usa apps de legendas automáticas, será que a mensagem do seu conteúdo está mesmo sendo transmitida de forma eficaz e é acessível a todos? Nesta palestra, vamos conversar sobre o impacto no processo de leitura e compreensão das legendas geradas automaticamente em vídeos veiculados principalmente nas redes sociais.
S07E40;Tort Law 101 e os casos mais bizarros dos EUA – Fernanda Vitarelli;Afinal, o que é essa área do direito que não tem uma equivalência precisa no Brasil, mas que é tão comentada na Common Law? Vamos entender um pouco mais sobre atos ilícitos e responsabilidade civil a partir de casos concretos. Ao final, um glossário útil para qualquer pessoa que precisa traduzir o direito.
S07E41;Entre o Exílio, o Nobel e a ressurreição: Traduzindo Ivan Bunin – Robson Ortlibas;Nesta apresentação, Robson Ortlibas apresentará sua tradução de “Rosa de Jericó e outros contos”, de Ivan Bunin, laureado com o prêmio Nobel de literatura, lançado pela Tacet Books. Explicará como foi o processo de seleção dos contos, bem como dos textos complementares e a escrita da biografia do autor. Falará sobre o estilo de Bunin, as dificuldades em recriá-lo na tradução, toda a pesquisa realizada, as soluções tradutórias encontradas durante o processo, além das principais dificuldades em traduzir uma obra de um dos maiores nomes da literatura russa e mundial.
S07E42;Aplicação e uso de novas tecnologias na Terminologia: da atividade didática à publicação – Cátia Santana, Denise Delegá, Patrícia Gimenez e Horácio Corral;Nessa roda de conversa apresentaremos alguns usos de novas tecnologias como auxílio no trabalho do tradutor que podem facilitar e validar a criação de glossários por meio de coleta e análise de linguagem autêntica e de especialização. Além disso, também vamos bater um papo sobre o processo de transformação de uma atividade didática em aulas de Terminologia em um glossário na área da saúde.
S07E43;A sutil arte de gerenciar o seu estresse – Giovana Boselli;Sob estresse, você não entrega o seu melhor. O raciocínio fica comprometido, a memória falha, as emoções podem ficar à flor da pele e o corpo pode adoecer. Vamos juntos refletir sobre as causas do seu estresse e como lidar com elas. Você sairá com muitas ferramentas para gerenciá-lo e, com isso, melhorar a sua produtividade e qualidade de vida.
S07E44;A tradução de literatura sul-coreana no Brasil: oportunidades e desafios – Núbia Tropéia;A literatura sul-coreana tem ocupado cada vez mais espaço nas estantes brasileiras, e as traduções diretas do coreano têm recebido maior investimento por parte das editoras. Nesta palestra, falarei sobre o processo de tradução de literatura sul-coreana (em especial, a literatura de cura), os desafios e diferenças culturais que podem ser encontrados nos textos e qual o panorama dessa literatura no mercado editorial brasileiro atualmente.
S07E45;Do manual à mesa: como explicar jogos ao público pode aprimorar as habilidades do tradutor – Jéssica Gubert e Raul Rocha;Embora o trabalho de escrita, edição e tradução seja idealmente silencioso e solitário, nem sempre o produto desse trabalho vai ser lido no mesmo contexto — especialmente quando falamos de localização de jogos de mesa. O manual de regras de um jogo de mesa precisa garantir que o jogador saiba fazer o jogo funcionar. Para isso, precisa sanar o máximo possível de suas dúvidas. Mas como saber que tipo de dúvida o jogador pode ter? Ora... lidando com ele, é claro. Nesta palestra, demonstramos como ensinar jogos ao público nos tornou tradutores melhores, e como traduzir nos tornou monitores melhores.
S07E46;Apresentando o English-Portuguese Dictionary – Verbal Collocations – Stella E. O. Tagnin;Após apresentar um pequeno histórico de como teve início o dicionário, vou discutir os critérios que nortearam sua compilação. O dicionário, como o nome já explica, contempla apenas colocações verbais, isto é, combinações consagradas de verbos e, no geral, substantivos. Por exemplo: “desempenhar um papel” e “play a role”, “fazer um elogio” e “pay a compliment“. Só foi possível disponibilizá-lo online graças ao projeto Democratizing Digital Lexicography, coordenado pela Profa. Lígia Lugli, do Mangelan Research Center, King´s College, London. Serão demonstradas algumas consultas possíveis.
S07E47;"O Capacitismo nas Legendas Descritivas (LSE/SDH e CC) – Diego Marsicano
Descrever ou Transcrever?";As legendas descritivas são cada vez mais comuns, mas como anda a qualidade dessa ferramenta de acessibilidade? Será que os descritores entendem a forma como surdo pensa e evitam o capacitismo, tratando-o com a devida autonomia cognitiva? Vamos refletir sobre a importância de respeitar o modo de pensar do público surdo.
S07E48;Gerente de projetos de tradução como perspectiva de carreira: mercado, funções e habilidades – Carolina Bisson;"As recentes inovações em inteligência artificial têm provocado transformações sem precedentes na multibilionária indústria de serviços linguísticos. Em meio a um cenário de mudanças, a importância do gerente de projetos permanece inabalável para o êxito do setor. Nesta aula, vamos apresentar uma visão abrangente e atualizada do mercado, além das funções e competências cruciais que qualificam um gerente de projetos de tradução para enfrentar os desafios da área.
"
S07E49;O Tradutor Nunca Está Só: Conexões e Colaboração nos Bastidores da Tradução – Daniel Guidi;"Esta palestra explora o que está além da tradução de palavras: as conexões e o trabalho coletivo que transformam uma simples adaptação em uma experiência cultural imersiva. Daniel Guidi, o The Bald Translator, compartilha sua jornada de biólogo a tradutor de jogos, mostrando como a colaboração com colegas e amigos enriquece cada projeto. Através de exemplos de projetos, será debatido como as redes de apoio e a pesquisa aprofundada são essenciais para lidar com os desafios culturais, tornando a tradução uma verdadeira aventura compartilhada.
"
S07E50;Gramática não é tudo, mas é inescapável – William Cruz;Profissionais do texto tomam inúmeras decisões por minuto. Cada palavra, cada estrutura sintática, cada sinal de pontuação, enfim, cada escolha do tradutor é regida por uma complexa rede de fatores, que incluem considerações de ordem lexical, gramatical, semântica, pragmática, etc. Quanto mais conscientes esses profissionais estiverem de como o sistema da língua funciona, mais segurança eles terão para desempenhar o seu trabalho. Na palestra, falaremos da importância do estudo da gramática de maneira geral e também trataremos de algumas dificuldades comuns entre os usuários da língua portuguesa.
S07E51;Entre Palavras e Mistérios: A Arte de Traduzir Arsène Lupin – Marco Hruschka, Luigi Ricciardi e Rafael Silvaro;"A apresentação aborda os desafios e nuances da tradução do livro As
Revelações de Arsène Lupin (Madrepérola-2022), originalmente Les Confidences
d’Arsène Lupin, realizada por Marco Antonio Hruschka Teles e Luís Cláudio Ferreira
Silva. Explorando o sucesso da série contemporânea inspirada no personagem, o
trabalho detalha o processo tradutório, desde as escolhas estilísticas e culturais até a
adaptação de jogos de palavras. A tradução moderniza o texto, mantendo sua essência
literária e estética, contribuindo para a difusão da obra de Maurice Leblanc no Brasil e
enriquecendo o mercado editorial local."
S08E01;LinkedIn para Tradutores: O Caminho das Pedras (e os Tiros no Pé) — Karìne Souto;Nesta palestra, Karìne Souto, intérprete de conferência e especialista em comunicação, compartilhará estratégias práticas e eficazes para transformar o LinkedIn em uma ferramenta poderosa de negócios para tradutores. Com mais de 15 mil conexões e uma trajetória que conecta sonhos e culturas, Karìne ensinará como criar uma presença de destaque, atrair clientes e construir conexões autênticas na plataforma. Se você deseja explorar o potencial do LinkedIn para impulsionar sua carreira na tradução, esta palestra é para você.
S08E02;Manipulando a IA Generativa: Inteligências Artificiais, perigos reais — Marcus Mangetti;"Propondo fugir dos clichês, a IA abordada aqui não veio roubar nossos empregos nem resolver nossos problemas num “prompt” de mágica. A proposta é esclarecer o que são essas IAs e como elas funcionam, apresentar algumas das inúmeras imperfeições e perigos dessas ferramentas, que podem e já estão sendo usadas para finalidades “pouco republicanas”.
É um convite para uma reflexão sobre o nosso papel diante desses problemas, uma tentativa de mostrar um pouco do que está por trás das telas e de nos afastar do alarmismo inconsequente, mas também da inocência e do romantismo, com um linguajar acessível aos não especialistas em TI."
S08E03;"O mundo dos mods no PC gaming; e como traduzi-los pode abrir portas! — Jean Trindade";Venha conhecer a cultura de modificar jogos de PC, com um toque de tradução! Nesta palestra, Jean explicará o que são os mods, além da história e impacto deles na indústria de jogos. A tradução de mods também será abordada, com exemplos que mostram como isso gera oportunidades para a sua carreira. Com o PC sendo a plataforma mais lucrativa, é indispensável que tradutores de jogos aprendam o máximo sobre ela. Se você é gamer e quer se aprofundar nessa cultura, essa palestra é para você!
S08E04;Localizando aplicativos móveis: uma jornada desafiadora e limitante! — Bruna Beatriz;De modo geral, a localização costuma exigir conhecimentos técnicos específicos para cada plataforma, formato e assunto sendo trabalhado. Com os aplicativos móveis, é preciso entender que lidamos, constantemente, com alguns desafios extras, como a limitação de caracteres, diferentes sistemas operacionais, pouco espaço na interface, referências visuais nem sempre presentes e instruções que devem ser passadas com clareza, da forma mais breve possível, aos usuários. Nesta aula, vamos ver alguns exemplos práticos e aprender como sair na frente na localização de aplicativos. Preparem os dispositivos móveis e já comecem a observar os aplicativos preferidos de vocês!
S08E05;Joacyr Oliveira — Corpora de Aprendizes de Tradução: Análise e Aplicações;"
Nesta oficina prática, você descobrirá como a Linguística de Corpus e planilhas eletrônicas podem ser ferramentas poderosas para alinhar e analisar traduções. Na primeira parte, examinaremos as traduções de 26 alunos que trabalharam no mesmo texto, discutindo padrões, escolhas linguísticas e desafios encontrados. Em seguida, você terá a chance de traduzir um pequeno trecho, alinhar sua tradução com o original e comparar seus resultados com os de outros participantes em tempo real. Para participar plenamente desta experiência interativa, é recomendável que você tenha acesso a uma conta Gmail, já que usaremos ferramentas online durante a atividade."
S08E06;Simone Brito — Tradução e tecnologia: até que ponto elas caminham juntas?;"Pergunta complicada... resposta complexa.
A tecnologia é ou não uma aliada dos tradutores?
Somente tradutores técnicos beneficiam-se dos avanços tecnológicos?
A tecnologia é inerente ao nosso cotidiano. A cada dia somos surpreendidos com uma novidade tecnológica sendo lançada. Há pouco tempo sequer podíamos imaginar tamanha evolução, salvo em filmes e desenhos animados.
No entanto, precisamos acompanhar a transformação digital na qual o mundo está vivendo e tirarmos proveito dela em prol da nossa profissão.
À medida que a tecnologia se desenvolve, ferramentas e métodos novos são criados e, ao invés de substituir o tradutor, eles podem ser usados para otimizar nosso trabalho.
Há possibilidades em todas as áreas da tradução, não só na técnica, que seria o mais comum, mas a tradução editorial e o audiovisual também se beneficiam dos avanços tecnológicos. Acompanhar o mercado é importante para entender os benefícios que a evolução tecnológica pode trazer para nossa realidade.
Atualização, curiosidade e disposição são segredos para abusarmos da tecnologia e mergulharmos no mundo da tradução porque, sim, nós podemos fazê-la trabalhar a nosso favor."
S08E07;Matheus Fabris — Regex aplicado ao memoQ;As expressões regulares (Regex) são sequências de caracteres que descrevem padrões de pesquisa em texto. Essa tecnologia nos permite expandir o que é possível em nossas CAT tools, tornando-se útil a todas as etapas, do tradutor ao gerente de projetos. Iremos explorar técnicas de pesquisa avançada, a criação de novos filtros de importação para formatos incomuns, a automatização da inserção de tags e até mesmo a adição de novas regras de controle de qualidade que se integram totalmente ao memoQ.
S08E08;Luiza Levy e Renato R. Geraldes — Espelho, espelho na parede? Nem sempre é traduzindo que se traduz;"Uma grande armadilha na vida do intérprete e do tradutor é aquela frase famosa e sua tradução consagrada - às vezes até dá pra rebolar em volta dela, mas a lição de casa bem feita depende de muito mais do que simplesmente sabermos aquela frase “como ela é”. Temos que lembrar que a tradução vai muito além das palavras; ela abarca toda a cultura dos falantes dos idiomas fonte e alvo.
"
S08E09;Val Ivonica — Como integrar a ModernMT a seu fluxo de trabalho;Muito se fala nos últimos tempos sobre a IA na tradução, mas será que ela é mesmo a melhor opção para aumentar a nossa produtividade? Nesta palestra, veremos como a tradução de máquina (MT) adaptiva, especificamente a ModernMT, pode ser mais adequada para isso, com a vantagem de poder se integrar a praticamente qualquer CAT tool sem muito esforço.
S08E10;Leonardo Tórtoro — A ciência por trás dos jogos e o futuro dos diálogos;Você sabia que jogos têm diversas aplicações além do entretenimento? E que centenas, ou até mesmo milhares de artigos científicos sobre jogos são publicados todos os anos ao redor do mundo? Nesta palestra vamos conhecer melhor as diversas áreas da ciência que investigam jogos, seus potenciais além do entretenimento, e um foco maior nas pesquisas computacionais por trás dos jogos, especialmente aquelas que envolvem a parte narrativa deles, assim como sua tradução e localização.
S08E11;Marina Araujo — Tradução e revisão de artigos científicos em inglês: desafios e estratégias para tradutores profissionais;A tradução e a revisão de artigos científicos em inglês demandam um grande domínio do inglês, da escrita acadêmica e das expectativas de revistas internacionais. Nesta palestra, vou explorar as principais características da escrita científica em inglês e estratégias para oferecer boas traduções e revisar textos sem comprometer o estilo acadêmico. Também discutirei desafios atuais dos tradutores e revisores de textos científicos, como lidar com textos gerados por inteligência artificial, além de como se posicionar no mercado e atrair clientes qualificados. Se você deseja trabalhar com a tradução e a revisão acadêmica, essa palestra trará informações importantes para impulsionar sua atuação profissional.
S08E12;Jerusa Marreti — Missão impossível? Não! Como gerenciar projetos de tradução sem pirar;O gerenciamento de projetos de tradução exige equilíbrio entre prazos, qualidade, orçamento, adaptação às novas tecnologias e tendências do mercado, além de desenvolver um olhar criterioso sobre as questões humanas. Equilibrar todos esses pratos pode ser realmente desafiador! Esta palestra abordará as melhores práticas para otimizar fluxos de trabalho, evitar falhas de comunicação e trará dicas práticas e preciosas para evitar ou superar as armadilhas comuns no setor, com o objetivo de garantir projetos bem-sucedidos. Recomendado para todos os profissionais da área, o conteúdo trará insights e estratégias para um gerenciamento eficiente, sem custar sua saúde mental!
S08E13;Dinaura Julles — Regulamentação da Inteligência Artificial no Brasil, nos Estados Unidos e na Europa;A palestra “Regulamentação da Inteligência Artificial no Brasil, nos Estados Unidos e na Europa” apresentará inicialmente, conceitos e tipos de inteligências artificial, seguidos de um panorama dos marcos regulatórios nestas três localidades. Serão abordados os principais fatos, normas e desafios que envolvem a implementação dessas regulamentações, considerando o impacto em toda a sociedade.
S08E14;Cuidando da Voz: A Ferramenta Essencial do Intérprete — Luiza Brahemcha;A palestra aborda a importância da saúde vocal para tradutores-intérpretes, destacando cuidados essenciais para preservar a qualidade da voz. Serão discutidos fatores de risco, como uso excessivo da voz, ambiente inadequado e tensão muscular, além de hábitos saudáveis, como hidratação, pausas vocais e aquecimento. Também serão apresentados exercícios práticos para projeção e respiração, ajudando na resistência vocal. O objetivo é fornecer orientações para evitar fadiga, manter a clareza na comunicação e garantir longevidade profissional. Ao final, os participantes terão dicas aplicáveis no dia a dia e entenderão quando buscar acompanhamento especializado.
S08E15;Tradução Médica e ChatGPT: do Prontuário ao Prompt — Luciana Bonancio;Nesta palestra interativa e descontraída, Luciana Bonancio vai mostrar como transformar o ChatGPT em seu assistente de pesquisa na tradução de textos médicos. Vamos do prontuário ao prompt com estratégias para ajudar você a usar a inteligência artificial com segurança, bom senso e criatividade para pesquisar, revisar, adaptar e verificar se um termo realmente existe na língua alvo. Tudo isso com exemplos reais, atividades práticas e dicas de como explorar a inteligência artificial usando sua inteligência humana.
S08E16;Vinte anos de tradução: Carta a jovens tradutores — Michel Teixeira;"Ao passar em revista meus vinte anos de carreira no LinkedIn, resolvi fazer um post para compartilhar com quem está começando as coisas que aprendi durante a jornada no mercado de tradução. Essa palestra é um reflexo desse texto e pretende levar ao público da Translators 101 uma visão ainda mais pessoal de tudo que aprendi. Será um prazer compartilhar com vocês minhas ideias sobre repertório linguístico, leituras, ferramentas CAT, organização pessoal, estudos, visibilidade do tradutor e, como bônus, dar uns pitacos sobre inteligência artificial.
Quem vem comigo nessa?"
S08E17;Reflexões sobre estratégias de tradução — Sátia Marini;A tradução é feita de prática. Quanto mais uma pessoa traduz determinado assunto, melhor ela fica naquela especialidade. O tradutor não costuma refletir sobre o que está fazendo, simplesmente traduz com todo o conhecimento que carrega e não se detém para pensar nas estratégias usadas. Na verdade, não temos tempo para ficar filosofando com um prazo curto para entregar o serviço. Quando surge um problema e travamos na tradução, aí pedimos ajuda a alguém, tentamos reescrever de outra forma, buscamos alternativas. Aqui, vamos pensar no que fazemos inconscientemente e em outras estratégias/métodos/modalidades empregados no nosso trabalho diário.
S08E18;Tradução Audiovisual: Workflow da demanda à entrega — Bruna Andrade;Um panorama prático da tradução audiovisual no mercado profissional, com foco em legendagem e dublagem. A partir da experiência em grandes fluxos de mídia, serão abordadas as etapas que envolvem aquisição de conteúdos, avaliação técnica de materiais, processos de tradução, revisão, uso de glossários, ferramentas de apoio e desafios atuais, incluindo testes com IA. A proposta é mostrar como a tradução se integra ao ciclo completo de entrega de um conteúdo — do licenciamento à exibição — e destacar o papel estratégico do tradutor como mediador cultural e guardião da qualidade linguística.
S08E19;A IA e o futuro da tradução: uma análise do panorama atual e expectativas — Valter Mendes;Esta palestra analisa o impacto da inteligência artificial (IA) no cenário da tradução, mostrando o panorama atual e as expectativas em relação ao uso da IA na tradução. Serão discutidas as mudanças no mercado de tradução impulsionadas pela tecnologia, e a palestra também vai explorar como a IA está sendo integrada às ferramentas de tradução, automatizando tarefas e abrindo novas oportunidades de especialização.
S08E20;Além da Língua: Estratégias que Todo Intérprete Precisa Dominar — Manuela Sampaio;Dicas práticas para quem quer entrar na área ou se aprimorar na interpretação, com base nos meus 12 anos como intérprete. Desde como se preparar para diferentes cenários (eventos, reuniões, acompanhamento) até o uso inteligente de tecnologia e a construção de uma reputação sólida – sem ter que virar influencer. Abordaremos também a importância da boa gestão dos seus projetos profissionais.
S08E21;Tradução sobre trilhos — Fabio Santana;A palestra apresenta uma análise de traduções de avisos bilíngues no transporte público da cidade de São Paulo, com foco em sua clareza, naturalidade e acessibilidade para usuários estrangeiros. A partir da documentação de campo e da análise de escolhas tradutórias, serão discutidos os desafios práticos da tradução funcional em espaços urbanos multilíngues. A apresentação propõe reflexões sobre o papel social da tradução na mobilidade e na inclusão, além de abordar caminhos metodológicos para a pesquisa aplicada em tradução pública.
Semana Intensiva;Negociação avançada;"Negociação avançada
- Diferentes cenários de negociação
- Você no comando da negociação
- Blefar não é pecado, é estratégia
- Acompanhamento da negociação"
Semana Intensiva;Carteira qualificada;"Carteira qualificada
- Clientes que devem ser demitidos
- Clientes que devem ser fidelizados
- Clientes que devem servir como complementos apenas
- Como ter e manter clientes qualificados"
Semana Intensiva;Produtividade;"Produtividade
- Controle seu ambiente
- Saiba identificar o que não vale a pena
- Assuma o controle do seu tempo
- Trabalhe menos e ganhe mais"
Semana Intensiva;Gestão de renda;"Gestão de renda
- Não importa quanto você ganha
- Entenda logo: padrão de vida não é qualidade de vida
- Você quer status ou liberdade?
- Diferentes formas de alocação de recursos"
Spin-off_01;Tradução para dublagem;Uma conversa sobre tradução para dublagem com a equipe da SBD.
Spin-off_02;OFF;OFF
Spin-off_03;Síndrome do Impostor;Não tem descrição.
Spin-off_04;A língua inglesa e os textos para negócios;Não tem descrição.
Spin-off_05;O culto à pobreza na tradução: pecados, virtudes e uma pandemia — Luciana Bonancio;Talvez você nunca tenha ouvido falar sobre isto, mas com certeza vai se identificar com o assunto. A expressão foi criada em 1996, e 24 anos depois o assunto continua em voga. Continuamos a luta pela valorização da profissão e para aumentar a autoestima da categoria, ainda mais no meio dessa pandemia! Vamos discutir os sete pecados mortais do culto à pobreza na tradução, incluindo nossa tendência à nos preocuparmos mais em criticar o próximo do que descobrir como superar nossas falhas e de reclamar muito sem mudar nada, tudo isso de uma maneira leve e interativa.
Spin-off_06;OFF;OFF
Spin-off_07;OFF;OFF
Spin-off_08;Organizando suas contas — Luidg Quitete;Um dos principais desafios para tradutores e intérpretes é conseguir lembrar da terminologia. Com certa frequência esquecemos de termos ou pior ainda, às vezes nem lembramos de um termo/conceito das traduções e interpretações que fazemos! E se você conseguisse entender melhor como esse mecanismo funciona e aprender estratégias para manter os termos sempre na ponta da língua?
Spin-off_09;oficina de CNV — Priscila Stuani;"Nesta oficina, Priscila Stuani falará sobre o que é CNV (Comunicação Não Violenta) e como aplicá-la em nosso cotidiano.
A CNV nos ajuda a entender como lidar de modo mais saudável com nossas emoções, através de reflexões e reações mais conscientes. Em diferentes cenários, a comunicação não violenta favorece a manifestação e interação de todos envolvidos, pois cria um ambiente acolhedor.
Haverá um momento de ""mão na massa"" onde colocaremos em prática os 4 pilares da CNV (não julgar, identificar sentimentos, assumir responsabilidades e fazer pedidos) para contribuir na construção de repertório pautado na CNV."
Spin-off_10;20 termos de negócios e finanças que todo tradutor deve conhecer — Isa Mara Lando;"Tenho o prazer de convidá-los para uma palestra em que vamos estudar, de maneira simples, acessível e descontraída, alguns termos importantes de negócios e finanças em inglês, e suas traduções.
O tema faz parte da cultura geral e também tem forte interesse para tradutores, pois são numerosas as publicações sobre assuntos financeiros, tanto impressas como online. Muita gente precisa ler textos em inglês nessa área, seja por circunstâncias de trabalho, estudo ou interesse próprio.
E como pode o leitor, o estudante ou o tradutor compreender esse vocabulário? Como saber a diferença entre shares e bonds? O que significa fazer uma IPO ou dar furlough para os funcionários? Como se traduz chairman of the board?"
Spin-off_11;Os 10 da tradução literária 1;E para participar você precisa fazer um exercício, traduzindo outro texto, até o dia da oficina.
Spin-off_11;Os 10 da tradução literária 2;Não tem descrição.
Spin-off_12;Literatura para a vida — Natália Estrella;Nesta palestra Natália falará sobre como a leitura, para além de ser uma ferramenta de conhecimento, pode ser inserida na vida prática de forma objetiva através de técnicas de leitura e escrita que nos foram deixadas por mestres que dominaram o tema amplamente.
Spin-off_14;Uma conversa com Cleo Monteiro Lobato: alegrias e desafios de se traduzir Monteiro Lobato;Vamos bater um papo com Cleo Monteiro Lobato, bisneta do famoso escritor, sobre diversos aspectos da tradução de Reinações de Narizinho para o inglês e também sobre questões atuais que envolvem a adaptação da obra de Lobato.
Spin-off_15;Os intérpretes e a tecnologia: resultados de uma pesquisa longitudinal realizada entre 2020 e 2021 — Marsel de Souza e Patrizia Cavallo;"Nesta apresentação, Marsel e Patrizia compartilharão os resultados da pesquisa longitudinal intitulada “Tecnologias na Interpretação”, conduzida entre 2020 e 2021 com aproximadamente 100 intérpretes que trabalham com o português brasileiro no Brasil e no exterior.
O estudo se propôs a mapear o uso de tecnologias por parte desse grupo de intérpretes no espaço de um ano, inclusive no contexto da pandemia de Covid-19.
Também teve como objetivo registrar as impressões dos intérpretes em relação a adventos tecnológicos importantes da área da Interpretação e suas expectativas para a evolução tecnológica na próxima década.
Temas abordados: CAI tools, Interpretação Remota e Interpretação Automática."
Spin-off_16;Do laudo à bula: a variedade de textos na tradução médica — Luciana Bonancio;O trabalho do tradutor da área médica não se restringe a bulas e laudos. Nosso público-alvo são pacientes, especialistas, órgãos regulatórios e o público em geral e por isso trabalhamos com uma variedade de textos, incluindo folhetos informativos, pesquisas, documentos e até material de marketing. A tradução vai muito além das palavras. Os aspectos culturais também precisam ser considerados para levar saúde e conhecimento a todas as pessoas, independentemente do seu nível educacional. Venha descobrir mais sobre uma área da tradução em franca expansão.
Spin-off_17;Formação e mercado no par italiano-português: dicas para tradutores/intérpretes iniciantes e experientes — Patrizia Cavallo;Se você quer entrar no mercado da tradução/interpretação com a combinação italiano-português, ou caso já seja profissional experiente nessa área, mas deseje acrescentar o italiano às suas línguas de trabalho, não perca esta palestra! Patrizia Cavallo (@patriziacavallo_apuliatrad), que desde 2011 trabalha no Brasil com esta combinação linguística, dará dicas sobre oportunidades de formação e falará a respeito dos principais âmbitos de trabalho e das peculiaridades do mercado brasileiro.
